"産業小分類，従業者規模","総数_事業所数","総数_従業者数(注)","総数_従業者数(注)_男","総数_従業者数(注)_女","総数_従業者数(注)_うち常用雇用者(注)","総数_従業者数(注)_うち常用雇用者(注)_男","総数_従業者数(注)_うち常用雇用者(注)_女","個人_事業所数","個人_従業者数(注)","個人_従業者数(注)_男","個人_従業者数(注)_女","個人_従業者数(注)_うち常用雇用者(注)","個人_従業者数(注)_うち常用雇用者(注)_男","個人_従業者数(注)_うち常用雇用者(注)_女","法人_事業所数","法人_従業者数(注)","法人_従業者数(注)_男","法人_従業者数(注)_女","法人_従業者数(注)_うち常用雇用者(注)","法人_従業者数(注)_うち常用雇用者(注)_男","法人_従業者数(注)_うち常用雇用者(注)_女","法人_会社_事業所数","法人_会社_従業者数(注)","法人_会社_従業者数(注)_男","法人_会社_従業者数(注)_女","法人_会社_従業者数(注)_うち常用雇用者(注)","法人_会社_従業者数(注)_うち常用雇用者(注)_男","法人_会社_従業者数(注)_うち常用雇用者(注)_女"
"A 農業，林業__50～99人","4.0","294.0","219.0","75.0","257.0","182.0","75.0","-","-","-","-","-","-","-","4.0","294.0","219.0","75.0","257.0","182.0","75.0","2.0","121.0","56.0","65.0","118.0","53.0","65.0"
"A 農業，林業__100人以上","1.0","179.0","68.0","111.0","178.0","67.0","111.0","-","-","-","-","-","-","-","1.0","179.0","68.0","111.0","178.0","67.0","111.0","1.0","179.0","68.0","111.0","178.0","67.0","111.0"
"A 農業，林業__出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業__(再掲)5人以下","95.0","281.0","200.0","81.0","176.0","121.0","55.0","-","-","-","-","-","-","-","92.0","273.0","196.0","77.0","169.0","117.0","52.0","48.0","164.0","115.0","49.0","99.0","72.0","27.0"
"A 農業，林業__(再掲)20人以下","167.0","1077.0","683.0","394.0","743.0","486.0","257.0","-","-","-","-","-","-","-","164.0","1069.0","679.0","390.0","736.0","482.0","254.0","87.0","567.0","340.0","227.0","403.0","238.0","165.0"
"A 農業，林業_01農業","143.0","1594.0","862.0","732.0","1105.0","572.0","533.0","-","-","-","-","-","-","-","139.0","1556.0","851.0","705.0","1098.0","568.0","530.0","70.0","889.0","431.0","458.0","739.0","338.0","401.0"
"A 農業，林業_01農業_1～4人","54.0","132.0","92.0","40.0","87.0","55.0","32.0","-","-","-","-","-","-","-","51.0","124.0","88.0","36.0","80.0","51.0","29.0","22.0","62.0","42.0","20.0","38.0","25.0","13.0"
"A 農業，林業_01農業_5～9人","39.0","258.0","150.0","108.0","171.0","98.0","73.0","-","-","-","-","-","-","-","39.0","258.0","150.0","108.0","171.0","98.0","73.0","25.0","170.0","96.0","74.0","119.0","66.0","53.0"
"A 農業，林業_01農業_10～19人","30.0","405.0","210.0","195.0","267.0","150.0","117.0","-","-","-","-","-","-","-","30.0","405.0","210.0","195.0","267.0","150.0","117.0","14.0","174.0","81.0","93.0","135.0","60.0","75.0"
"A 農業，林業_01農業_20～29人","9.0","211.0","139.0","72.0","145.0","89.0","56.0","-","-","-","-","-","-","-","9.0","211.0","139.0","72.0","145.0","89.0","56.0","2.0","40.0","28.0","12.0","33.0","23.0","10.0"
"A 農業，林業_01農業_30～49人","8.0","288.0","147.0","141.0","139.0","60.0","79.0","-","-","-","-","-","-","-","7.0","258.0","140.0","118.0","139.0","60.0","79.0","4.0","143.0","60.0","83.0","118.0","44.0","74.0"
"A 農業，林業_01農業_50～99人","2.0","121.0","56.0","65.0","118.0","53.0","65.0","-","-","-","-","-","-","-","2.0","121.0","56.0","65.0","118.0","53.0","65.0","2.0","121.0","56.0","65.0","118.0","53.0","65.0"
"A 農業，林業_01農業_100人以上","1.0","179.0","68.0","111.0","178.0","67.0","111.0","-","-","-","-","-","-","-","1.0","179.0","68.0","111.0","178.0","67.0","111.0","1.0","179.0","68.0","111.0","178.0","67.0","111.0"
"A 農業，林業_01農業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_01農業_(再掲)5人以下","68.0","202.0","137.0","65.0","131.0","84.0","47.0","-","-","-","-","-","-","-","65.0","194.0","133.0","61.0","124.0","80.0","44.0","30.0","102.0","68.0","34.0","63.0","43.0","20.0"
"A 農業，林業_01農業_(再掲)20人以下","125.0","835.0","480.0","355.0","558.0","326.0","232.0","-","-","-","-","-","-","-","122.0","827.0","476.0","351.0","551.0","322.0","229.0","63.0","446.0","247.0","199.0","325.0","174.0","151.0"
"A 農業，林業_010管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_010管理，補助的経済活動を行う事業所_1～4人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_010管理，補助的経済活動を行う事業所_5～9人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_010管理，補助的経済活動を行う事業所_10～19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_010管理，補助的経済活動を行う事業所_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_010管理，補助的経済活動を行う事業所_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_010管理，補助的経済活動を行う事業所_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_010管理，補助的経済活動を行う事業所_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_010管理，補助的経済活動を行う事業所_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_010管理，補助的経済活動を行う事業所_(再掲)5人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_010管理，補助的経済活動を行う事業所_(再掲)20人以下","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_011耕種農業","65.0","916.0","423.0","493.0","705.0","313.0","392.0","-","-","-","-","-","-","-","63.0","882.0","414.0","468.0","701.0","311.0","390.0","48.0","752.0","340.0","412.0","638.0","267.0","371.0"
"A 農業，林業_011耕種農業_1～4人","20.0","54.0","36.0","18.0","33.0","20.0","13.0","-","-","-","-","-","-","-","19.0","50.0","34.0","16.0","29.0","18.0","11.0","15.0","44.0","28.0","16.0","26.0","15.0","11.0"
"A 農業，林業_011耕種農業_5～9人","18.0","120.0","58.0","62.0","69.0","30.0","39.0","-","-","-","-","-","-","-","18.0","120.0","58.0","62.0","69.0","30.0","39.0","12.0","81.0","40.0","41.0","54.0","23.0","31.0"
"A 農業，林業_011耕種農業_10～19人","17.0","223.0","104.0","119.0","147.0","68.0","79.0","-","-","-","-","-","-","-","17.0","223.0","104.0","119.0","147.0","68.0","79.0","13.0","164.0","75.0","89.0","128.0","55.0","73.0"
"A 農業，林業_011耕種農業_20～29人","2.0","46.0","34.0","12.0","42.0","31.0","11.0","-","-","-","-","-","-","-","2.0","46.0","34.0","12.0","42.0","31.0","11.0","1.0","20.0","13.0","7.0","16.0","10.0","6.0"
"A 農業，林業_011耕種農業_30～49人","5.0","173.0","67.0","106.0","118.0","44.0","74.0","-","-","-","-","-","-","-","4.0","143.0","60.0","83.0","118.0","44.0","74.0","4.0","143.0","60.0","83.0","118.0","44.0","74.0"
"A 農業，林業_011耕種農業_50～99人","2.0","121.0","56.0","65.0","118.0","53.0","65.0","-","-","-","-","-","-","-","2.0","121.0","56.0","65.0","118.0","53.0","65.0","2.0","121.0","56.0","65.0","118.0","53.0","65.0"
"A 農業，林業_011耕種農業_100人以上","1.0","179.0","68.0","111.0","178.0","67.0","111.0","-","-","-","-","-","-","-","1.0","179.0","68.0","111.0","178.0","67.0","111.0","1.0","179.0","68.0","111.0","178.0","67.0","111.0"
"A 農業，林業_011耕種農業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_011耕種農業_(再掲)5人以下","25.0","79.0","50.0","29.0","47.0","28.0","19.0","-","-","-","-","-","-","-","24.0","75.0","48.0","27.0","43.0","26.0","17.0","18.0","59.0","38.0","21.0","35.0","21.0","14.0"
"A 農業，林業_011耕種農業_(再掲)20人以下","56.0","417.0","211.0","206.0","265.0","128.0","137.0","-","-","-","-","-","-","-","55.0","413.0","209.0","204.0","261.0","126.0","135.0","41.0","309.0","156.0","153.0","224.0","103.0","121.0"
"A 農業，林業_012畜産農業","18.0","148.0","80.0","68.0","124.0","67.0","57.0","-","-","-","-","-","-","-","16.0","144.0","78.0","66.0","121.0","65.0","56.0","9.0","53.0","28.0","25.0","38.0","20.0","18.0"
"A 農業，林業_012畜産農業_1～4人","8.0","15.0","10.0","5.0","9.0","7.0","2.0","-","-","-","-","-","-","-","6.0","11.0","8.0","3.0","6.0","5.0","1.0","4.0","8.0","5.0","3.0","4.0","3.0","1.0"
"A 農業，林業_012畜産農業_5～9人","4.0","25.0","8.0","17.0","17.0","4.0","13.0","-","-","-","-","-","-","-","4.0","25.0","8.0","17.0","17.0","4.0","13.0","4.0","25.0","8.0","17.0","17.0","4.0","13.0"
"A 農業，林業_012畜産農業_10～19人","3.0","43.0","27.0","16.0","42.0","26.0","16.0","-","-","-","-","-","-","-","3.0","43.0","27.0","16.0","42.0","26.0","16.0","-","-","-","-","-","-","-"
"A 農業，林業_012畜産農業_20～29人","3.0","65.0","35.0","30.0","56.0","30.0","26.0","-","-","-","-","-","-","-","3.0","65.0","35.0","30.0","56.0","30.0","26.0","1.0","20.0","15.0","5.0","17.0","13.0","4.0"
"A 農業，林業_012畜産農業_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_012畜産農業_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_012畜産農業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_012畜産農業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_012畜産農業_(再掲)5人以下","10.0","25.0","14.0","11.0","14.0","9.0","5.0","-","-","-","-","-","-","-","8.0","21.0","12.0","9.0","11.0","7.0","4.0","6.0","18.0","9.0","9.0","9.0","5.0","4.0"
"A 農業，林業_012畜産農業_(再掲)20人以下","16.0","103.0","60.0","43.0","85.0","50.0","35.0","-","-","-","-","-","-","-","14.0","99.0","58.0","41.0","82.0","48.0","34.0","9.0","53.0","28.0","25.0","38.0","20.0","18.0"
"A 農業，林業_013農業サービス業(園芸サービス業を除く)","53.0","486.0","323.0","163.0","243.0","163.0","80.0","-","-","-","-","-","-","-","53.0","486.0","323.0","163.0","243.0","163.0","80.0","6.0","40.0","27.0","13.0","30.0","22.0","8.0"
"A 農業，林業_013農業サービス業(園芸サービス業を除く)_1～4人","23.0","53.0","37.0","16.0","37.0","21.0","16.0","-","-","-","-","-","-","-","23.0","53.0","37.0","16.0","37.0","21.0","16.0","-","-","-","-","-","-","-"
"A 農業，林業_013農業サービス業(園芸サービス業を除く)_5～9人","14.0","89.0","63.0","26.0","67.0","47.0","20.0","-","-","-","-","-","-","-","14.0","89.0","63.0","26.0","67.0","47.0","20.0","6.0","40.0","27.0","13.0","30.0","22.0","8.0"
"A 農業，林業_013農業サービス業(園芸サービス業を除く)_10～19人","9.0","129.0","73.0","56.0","71.0","51.0","20.0","-","-","-","-","-","-","-","9.0","129.0","73.0","56.0","71.0","51.0","20.0","-","-","-","-","-","-","-"
"A 農業，林業_013農業サービス業(園芸サービス業を除く)_20～29人","4.0","100.0","70.0","30.0","47.0","28.0","19.0","-","-","-","-","-","-","-","4.0","100.0","70.0","30.0","47.0","28.0","19.0","-","-","-","-","-","-","-"
"A 農業，林業_013農業サービス業(園芸サービス業を除く)_30～49人","3.0","115.0","80.0","35.0","21.0","16.0","5.0","-","-","-","-","-","-","-","3.0","115.0","80.0","35.0","21.0","16.0","5.0","-","-","-","-","-","-","-"
"A 農業，林業_013農業サービス業(園芸サービス業を除く)_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_013農業サービス業(園芸サービス業を除く)_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_013農業サービス業(園芸サービス業を除く)_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_013農業サービス業(園芸サービス業を除く)_(再掲)5人以下","30.0","88.0","64.0","24.0","62.0","40.0","22.0","-","-","-","-","-","-","-","30.0","88.0","64.0","24.0","62.0","40.0","22.0","3.0","15.0","12.0","3.0","11.0","10.0","1.0"
"A 農業，林業_013農業サービス業(園芸サービス業を除く)_(再掲)20人以下","46.0","271.0","173.0","98.0","175.0","119.0","56.0","-","-","-","-","-","-","-","46.0","271.0","173.0","98.0","175.0","119.0","56.0","6.0","40.0","27.0","13.0","30.0","22.0","8.0"
"A 農業，林業_014園芸サービス業","7.0","44.0","36.0","8.0","33.0","29.0","4.0","-","-","-","-","-","-","-","7.0","44.0","36.0","8.0","33.0","29.0","4.0","7.0","44.0","36.0","8.0","33.0","29.0","4.0"
"A 農業，林業_014園芸サービス業_1～4人","3.0","10.0","9.0","1.0","8.0","7.0","1.0","-","-","-","-","-","-","-","3.0","10.0","9.0","1.0","8.0","7.0","1.0","3.0","10.0","9.0","1.0","8.0","7.0","1.0"
"A 農業，林業_014園芸サービス業_5～9人","3.0","24.0","21.0","3.0","18.0","17.0","1.0","-","-","-","-","-","-","-","3.0","24.0","21.0","3.0","18.0","17.0","1.0","3.0","24.0","21.0","3.0","18.0","17.0","1.0"
"A 農業，林業_014園芸サービス業_10～19人","1.0","10.0","6.0","4.0","7.0","5.0","2.0","-","-","-","-","-","-","-","1.0","10.0","6.0","4.0","7.0","5.0","2.0","1.0","10.0","6.0","4.0","7.0","5.0","2.0"
"A 農業，林業_014園芸サービス業_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_014園芸サービス業_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_014園芸サービス業_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_014園芸サービス業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_014園芸サービス業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_014園芸サービス業_(再掲)5人以下","3.0","10.0","9.0","1.0","8.0","7.0","1.0","-","-","-","-","-","-","-","3.0","10.0","9.0","1.0","8.0","7.0","1.0","3.0","10.0","9.0","1.0","8.0","7.0","1.0"
"A 農業，林業_014園芸サービス業_(再掲)20人以下","7.0","44.0","36.0","8.0","33.0","29.0","4.0","-","-","-","-","-","-","-","7.0","44.0","36.0","8.0","33.0","29.0","4.0","7.0","44.0","36.0","8.0","33.0","29.0","4.0"
"A 農業，林業_02林業","50.0","637.0","580.0","57.0","473.0","430.0","43.0","-","-","-","-","-","-","-","50.0","637.0","580.0","57.0","473.0","430.0","43.0","25.0","162.0","133.0","29.0","118.0","103.0","15.0"
"A 農業，林業_02林業_1～4人","22.0","54.0","42.0","12.0","25.0","20.0","5.0","-","-","-","-","-","-","-","22.0","54.0","42.0","12.0","25.0","20.0","5.0","14.0","42.0","30.0","12.0","21.0","16.0","5.0"
"A 農業，林業_02林業_5～9人","9.0","52.0","44.0","8.0","41.0","36.0","5.0","-","-","-","-","-","-","-","9.0","52.0","44.0","8.0","41.0","36.0","5.0","7.0","41.0","35.0","6.0","30.0","27.0","3.0"
"A 農業，林業_02林業_10～19人","10.0","116.0","97.0","19.0","99.0","84.0","15.0","-","-","-","-","-","-","-","10.0","116.0","97.0","19.0","99.0","84.0","15.0","3.0","38.0","28.0","10.0","27.0","21.0","6.0"
"A 農業，林業_02林業_20～29人","2.0","46.0","46.0","-","33.0","33.0","-","-","-","-","-","-","-","-","2.0","46.0","46.0","-","33.0","33.0","-","-","-","-","-","-","-","-"
"A 農業，林業_02林業_30～49人","5.0","196.0","188.0","8.0","136.0","128.0","8.0","-","-","-","-","-","-","-","5.0","196.0","188.0","8.0","136.0","128.0","8.0","1.0","41.0","40.0","1.0","40.0","39.0","1.0"
"A 農業，林業_02林業_50～99人","2.0","173.0","163.0","10.0","139.0","129.0","10.0","-","-","-","-","-","-","-","2.0","173.0","163.0","10.0","139.0","129.0","10.0","-","-","-","-","-","-","-"
"A 農業，林業_02林業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_02林業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_02林業_(再掲)5人以下","27.0","79.0","63.0","16.0","45.0","37.0","8.0","-","-","-","-","-","-","-","27.0","79.0","63.0","16.0","45.0","37.0","8.0","18.0","62.0","47.0","15.0","36.0","29.0","7.0"
"A 農業，林業_02林業_(再掲)20人以下","42.0","242.0","203.0","39.0","185.0","160.0","25.0","-","-","-","-","-","-","-","42.0","242.0","203.0","39.0","185.0","160.0","25.0","24.0","121.0","93.0","28.0","78.0","64.0","14.0"
"A 農業，林業_020管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_020管理，補助的経済活動を行う事業所_1～4人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_020管理，補助的経済活動を行う事業所_5～9人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_020管理，補助的経済活動を行う事業所_10～19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"A 農業，林業_020管理，補助的経済活動を行う事業所_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
